Task,Model,Embedding,Iteration,AUC,AUPRC,ACC,F1
mort_hosp,Proposed,word2vec,1,0.87914732,0.575310176,0.914253394,0.448326055
mort_icu,Proposed,word2vec,1,0.86405619,0.490404813,0.941855204,0.398126464
los_3,Proposed,word2vec,1,0.697917782,0.639052172,0.655656109,0.493004664
los_7,Proposed,word2vec,1,0.724177537,0.209931184,0.918778281,0.037533512
mort_hosp,Proposed,word2vec,2,0.880400215,0.572814765,0.914932127,0.450292398
mort_icu,Proposed,word2vec,2,0.877045712,0.522894136,0.94321267,0.400954654
los_3,Proposed,word2vec,2,0.702943523,0.648530169,0.670361991,0.565463764
los_7,Proposed,word2vec,2,0.723366777,0.218447643,0.918552036,0.032258065
mort_hosp,Proposed,word2vec,3,0.868597361,0.557607375,0.913574661,0.454285714
mort_icu,Proposed,word2vec,3,0.87021594,0.502533788,0.942760181,0.399049881
los_3,Proposed,word2vec,3,0.690644904,0.634081764,0.659276018,0.54391278
los_7,Proposed,word2vec,3,0.696394531,0.197528101,0.919230769,0.005571031
mort_hosp,Proposed,word2vec,4,0.870165904,0.566148449,0.916289593,0.432515337
mort_icu,Proposed,word2vec,4,0.878065309,0.516353559,0.943438914,0.456521739
los_3,Proposed,word2vec,4,0.699832071,0.646573677,0.664253394,0.532156368
los_7,Proposed,word2vec,4,0.719203359,0.210113067,0.919457014,0.021978022
mort_hosp,Proposed,word2vec,5,0.862826286,0.564560484,0.916289593,0.472934473
mort_icu,Proposed,word2vec,5,0.878361989,0.508926759,0.940045249,0.42516269
los_3,Proposed,word2vec,5,0.709807764,0.657824528,0.66719457,0.57959417
los_7,Proposed,word2vec,5,0.717379839,0.197250695,0.919230769,0.016528926
mort_hosp,Proposed,word2vec,6,0.876366281,0.570985966,0.914253394,0.440177253
mort_icu,Proposed,word2vec,6,0.870304867,0.503142115,0.941628959,0.434210526
los_3,Proposed,word2vec,6,0.702500493,0.640030637,0.663800905,0.542769231
los_7,Proposed,word2vec,6,0.731173789,0.219678859,0.919004525,0.011049724
mort_hosp,Proposed,word2vec,7,0.875174253,0.563718785,0.913574661,0.441520468
mort_icu,Proposed,word2vec,7,0.874821762,0.485735169,0.940497738,0.421978022
los_3,Proposed,word2vec,7,0.696495132,0.628141465,0.657692308,0.544688534
los_7,Proposed,word2vec,7,0.719028936,0.194562361,0.919230769,0.027247956
mort_hosp,Proposed,word2vec,8,0.880283867,0.581721218,0.915158371,0.487004104
mort_icu,Proposed,word2vec,8,0.874435388,0.484423609,0.940271493,0.346534653
los_3,Proposed,word2vec,8,0.692562957,0.631165319,0.652262443,0.581996193
